text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerOut.firstName,playerOut.lastName,injury
FT,0.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,6.0,card,Jenison,Time wasting,False,120827565.0,False,yellow,1.0,Jenison,,,jenison,Jenison,F,42.0,896246.0,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
,,,,88,,substitution,,,,121898169.0,False,,3.0,,,,,,,,,,Romulo,Romulo,,romulo,Romulo,F,29.0,1105078.0,Aylon,aylon,Aylon,F,82.0,364528.0,,,
,0.0,1.0,,85,,goal,,,,170477232.0,False,ownGoal,6.0,Cristovam,,,cristovam,Cristovam,D,24.0,336555.0,,,,,,,,,,,,,,,,,,
,,,,82,,substitution,,,,121898167.0,True,,9.0,,,,,,,,,,Italo Melo,,,italo-melo,I. Melo,F,34.0,329257.0,Miqueias,miqueias,Miqueias,M,39.0,1172986.0,,,
,,,,82,,substitution,,,,121898168.0,False,,9.0,,,,,,,,,,Guilherme Matos,,,guilherme-matos,G. Matos,D,7.0,1108024.0,Léo Tocantins,leo-tocantins,L. Tocantins,F,25.0,965313.0,,,
,,,,82,,substitution,,,,121898166.0,True,,9.0,,,,,,,,,,Welinton,,,welinton,Welinton,F,26.0,989385.0,Joao Carlos Barros Lopes,barros-lopes-joao-carlos,J. C. B. Lopes,F,11.0,1462654.0,João Carlos Barros Lopes,,
,,,,76,,substitution,,,,121898161.0,True,injury,15.0,,,,,,,,,,Cristovam,,,cristovam,Cristovam,D,24.0,336555.0,Claudinho,claudinho,Claudinho,D,20.0,992791.0,,,True
,,,,74,,card,Miqueias,Foul,False,120827552.0,True,yellow,17.0,Miqueias,,,miqueias,Miqueias,M,39.0,1172986.0,,,,,,,,,,,,,,,,,,
,,,,66,,substitution,,,,121898148.0,False,,25.0,,,,,,,,,,Jenison,,,jenison,Jenison,F,42.0,896246.0,Ronaldo,ronaldo,Ronaldo,F,150.0,387766.0,,,
,,,,66,,substitution,,,,121898147.0,False,,25.0,,,,,,,,,,Ricardinho,,,ricardinho,Ricardinho,M,23.0,870802.0,Marlon,marlon,Marlon,M,34.0,866574.0,,,
,,,,63,,substitution,,,,121898144.0,True,,28.0,,,,,,,,,,Rômulo,,,romulo,Rômulo,M,42.0,879593.0,Marquinhos Gabriel,marquinhos-gabriel,Marquinhos Gabriel,M,281.0,90812.0,,,
,,,,62,,substitution,,,,121898143.0,True,,29.0,,,,,,,,,,Tiago Marques,,,tiago-marques,T. Marques,F,9.0,866350.0,Felipe Vizeu,felipe-vizeu,F. Vizeu,F,435.0,839635.0,,,
,,,,50,,card,Marcelo Hermes,Foul,False,120827538.0,True,yellow,41.0,Marcelo Hermes,,,marcelo-hermes,M. Hermes,D,57.0,783490.0,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121898121.0,False,,45.0,,,,,,,,,,Felipe Marques,,,felipe-marques,F. Marques,F,65.0,927438.0,Douglas Baggio,douglas-baggio,D. Baggio,F,69.0,795035.0,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
,,,,44,,card,Felipe Vizeu,Argument,False,120827507.0,True,yellow,2.0,Felipe Vizeu,,,felipe-vizeu,F. Vizeu,F,435.0,839635.0,,,,,,,,,,,,,,,,,,
,,,,23,,card,Rodrigo Fagundes,Foul,False,120827467.0,True,yellow,23.0,Rodrigo Fagundes,,,rodrigo-fagundes,R. Fagundes,D,28.0,886773.0,,,,,,,,,,,,,,,,,,
